term	valence
abide	positive
ability	positive
able	positive
abound	positive
absolve	positive
absorbent	positive
absorption	positive
abundance	positive
abundant	positive
accede	positive
accentuate	positive
accept	positive
acceptable	positive
acceptance	positive
accessible	positive
accession	positive
acclaim	positive
acclamation	positive
accolade	positive
accommodate	positive
accommodation	positive
accompaniment	positive
accomplish	positive
accomplishment	positive
accord	positive
accordance	positive
accountable	positive
accrue	positive
accuracy	positive
accurate	positive
accurateness	positive
achieve	positive
achievement	positive
acknowledgement	positive
acquaint	positive
acquaintance	positive
acquit	positive
acquittal	positive
actual	positive
actuality	positive
adamant	positive
adaptability	positive
adaptable	positive
adaptation	positive
adaptive	positive
adept	positive
adeptness	positive
adequate	positive
adherence	positive
adherent	positive
adhesion	positive
adhesive	positive
adjunct	positive
adjust	positive
adjustable	positive
adjustment	positive
admirable	positive
admiration	positive
admire	positive
admirer	positive
admit	positive
admittance	positive
adorable	positive
adore	positive
adorn	positive
adornment	positive
adroit	positive
adroitly	positive
adulation	positive
adult	positive
advance	positive
advancement	positive
advantage	positive
advantageous	positive
advent	positive
adventuresome	positive
adventurous	positive
advisable	positive
advocacy	positive
affability	positive
affable	positive
affection	positive
affectionate	positive
affiliate	positive
affiliation	positive
affinity	positive
affirm	positive
affirmation	positive
affirmative	positive
affix	positive
affluence	positive
affluent	positive
afloat	positive
aggregate	positive
aggregation	positive
agile	positive
agility	positive
agreeable	positive
agreement	positive
aid	positive
alertness	positive
alight	positive
alive	positive
allegiance	positive
alleviate	positive
alliance	positive
allied	positive
allies	positive
allow	positive
allowable	positive
allowance	positive
allure	positive
ally	positive
almighty	positive
altruistic	positive
amazement	positive
amazing	positive
ameliorate	positive
amenable	positive
amenity	positive
amiability	positive
amiable	positive
amicable	positive
amnesty	positive
amour	positive
ample	positive
amplify	positive
amply	positive
amuse	positive
amusement	positive
angel	positive
angelic	positive
anoint	positive
apocalypse	positive
appeal	positive
appease	positive
append	positive
applaud	positive
applause	positive
appoint	positive
appreciable	positive
appreciate	positive
appreciation	positive
appreciative	positive
apprehend	positive
approach	positive
appropriate	positive
approval	positive
approve	positive
apt	positive
aptitude	positive
arbiter	positive
arbitrate	positive
arbitration	positive
ardent	positive
arisen	positive
aristocracy	positive
aristocrat	positive
aristocratic	positive
arrest	positive
art	positive
ascribe	positive
aspiration	positive
aspire	positive
assent	positive
assertion	positive
asset	positive
assist	positive
assistance	positive
assistant	positive
associate	positive
association	positive
assurance	positive
assure	positive
assuredly	positive
astound	positive
astute	positive
athletic	positive
attachment	positive
attain	positive
attainment	positive
attend	positive
attendance	positive
attentive	positive
attract	positive
attraction	positive
attractive	positive
attractiveness	positive
attune	positive
audible	positive
augment	positive
augmentation	positive
auspicious	positive
authentic	positive
authenticity	positive
authoritative	positive
authority	positive
autonomous	positive
availability	positive
avid	positive
award	positive
aware	positive
awareness	positive
back	positive
backbone	positive
backer	positive
backing	positive
ball	positive
balmy	positive
baptism	positive
baptize	positive
bargain	positive
basic	positive
beacon	positive
beauteous	positive
beautify	positive
beauty	positive
befit	positive
befitting	positive
befriend	positive
behalf	positive
beloved	positive
benefactor	positive
beneficent	positive
beneficial	positive
beneficiary	positive
benefit	positive
benevolence	positive
benevolent	positive
benign	positive
bequeath	positive
best	positive
bestow	positive
betroth	positive
betrothal	positive
better	positive
blameless	positive
bless	positive
bliss	positive
blissful	positive
blithe	positive
bloom	positive
blossom	positive
board	positive
boldness	positive
bolster	positive
bonny	positive
bonus	positive
boom	positive
boost	positive
boundless	positive
bountiful	positive
brainy	positive
brave	positive
bravery	positive
breadwinner	positive
bright	positive
brightness	positive
brilliance	positive
brilliant	positive
brotherhood	positive
brotherly	positive
buoyant	positive
buy	positive
call	positive
calm	positive
calmness	positive
candid	positive
candor	positive
capability	positive
capable	positive
capitalize	positive
captivation	positive
care	positive
carefree	positive
careful	positive
caress	positive
casual	positive
ceaseless	positive
celebrate	positive
celebration	positive
celebrity	positive
ceremonial	positive
champ	positive
champion	positive
championship	positive
charisma	positive
charitable	positive
charity	positive
charm	positive
chaste	positive
cheer	positive
cheerful	positive
cheery	positive
cherish	positive
cherub	positive
chic	positive
chivalrous	positive
chivalry	positive
chosen	positive
chum	positive
civil	positive
civility	positive
civilization	positive
civilize	positive
clarify	positive
clarity	positive
classic	positive
clean	positive
cleanliness	positive
cleanse	positive
clear	positive
clearness	positive
clever	positive
closeness	positive
clout	positive
co-operation	positive
coax	positive
coddle	positive
coexistence	positive
cogent	positive
cognizance	positive
cognizant	positive
coherent	positive
cohesion	positive
cohort	positive
coincident	positive
collaborate	positive
collaboration	positive
colleague	positive
colossal	positive
comeback	positive
comedy	positive
comely	positive
comestible	positive
comfort	positive
comfortable	positive
comic	positive
comical	positive
commemorate	positive
commemoration	positive
commencement	positive
commend	positive
commendable	positive
commendation	positive
commensurate	positive
commission	positive
commitment	positive
commodious	positive
common	positive
commonsense	positive
communal	positive
commune	positive
communicate	positive
communicative	positive
communion	positive
community	positive
companion	positive
companionship	positive
company	positive
compassion	positive
compassionate	positive
compatible	positive
compensate	positive
compensation	positive
competence	positive
competency	positive
competent	positive
complement	positive
complementary	positive
complete	positive
completeness	positive
completion	positive
compliance	positive
compliment	positive
composure	positive
comprehend	positive
comprehension	positive
comprehensive	positive
compromise	positive
concession	positive
conclusive	positive
concur	positive
condone	positive
conducive	positive
confederation	positive
confer	positive
confidant	positive
confide	positive
confidence	positive
confident	positive
congenial	positive
congratulate	positive
congratulation	positive
congratulatory	positive
congregate	positive
conjunction	positive
conjure	positive
connect	positive
conquer	positive
conqueror	positive
conquest	positive
conscience	positive
conscientious	positive
consensus	positive
consent	positive
conserve	positive
consider	positive
considerate	positive
consideration	positive
consign	positive
consistency	positive
consistent	positive
console	positive
consolidate	positive
constancy	positive
constructive	positive
consult	positive
consultation	positive
consummate	positive
contact	positive
content	positive
contentment	positive
continuity	positive
contribute	positive
contribution	positive
contributor	positive
convene	positive
conviction	positive
convince	positive
cooperate	positive
cooperation	positive
cooperative	positive
coordinate	positive
coordination	positive
cordial	positive
correct	positive
correction	positive
council	positive
counsel	positive
courage	positive
courageous	positive
courteous	positive
courtesy	positive
courtly	positive
covenant	positive
cozy	positive
create	positive
creative	positive
creativity	positive
credentials	positive
credibility	positive
credible	positive
credit	positive
crusade	positive
crusader	positive
cuddle	positive
culminate	positive
culmination	positive
cultivate	positive
cultivation	positive
culture	positive
cupid	positive
cure	positive
curtsey	positive
cute	positive
dance	positive
dare	positive
daring	positive
darling	positive
dauntless	positive
dawn	positive
dazzle	positive
deal	positive
dear	positive
decency	positive
decent	positive
decipher	positive
decorate	positive
decoration	positive
decorative	positive
dedicate	positive
dedication	positive
deduce	positive
defend	positive
defender	positive
defense	positive
deference	positive
definitive	positive
delicacy	positive
delicate	positive
delight	positive
delightful	positive
dependability	positive
dependable	positive
descry	positive
deserve	positive
deservedly	positive
desirable	positive
desirous	positive
devote	positive
devotion	positive
devout	positive
dexterity	positive
dig	positive
dignified	positive
dignify	positive
dignity	positive
diligent	positive
discern	positive
discreet	positive
discretion	positive
discuss	positive
distinct	positive
distinction	positive
distinctive	positive
distinguish	positive
distinguished	positive
divine	positive
divinity	positive
dominance	positive
donate	positive
donation	positive
dote	positive
doubtless	positive
dreamland	positive
durability	positive
durable	positive
dynamic	positive
eager	positive
eagerness	positive
earnest	positive
earnestness	positive
ease	positive
easy	positive
economize	positive
ecstasy	positive
ecstatic	positive
edible	positive
educated	positive
education	positive
educational	positive
effective	positive
effectiveness	positive
efficacy	positive
efficiency	positive
efficient	positive
elaborate	positive
elaboration	positive
elate	positive
elegance	positive
elegant	positive
eloquent	positive
embellish	positive
embrace	positive
eminence	positive
eminent	positive
empathy	positive
empower	positive
empowerment	positive
enable	positive
enchant	positive
enchantment	positive
encourage	positive
encouragement	positive
endear	positive
endorse	positive
endow	positive
endurance	positive
energetic	positive
energize	positive
engage	positive
enhance	positive
enhancement	positive
enjoy	positive
enjoyable	positive
enjoyment	positive
enlighten	positive
enlightenment	positive
enrich	positive
enrichment	positive
ensemble	positive
ensure	positive
entertain	positive
entertainment	positive
enthusiasm	positive
enthusiastic	positive
entrepreneurial	positive
entrust	positive
envision	positive
equality	positive
equitable	positive
equity	positive
essential	positive
establish	positive
esteem	positive
ethical	positive
ethics	positive
etiquette	positive
even	positive
everlasting	positive
exact	positive
exalt	positive
excel	positive
excellence	positive
excellent	positive
excite	positive
excited	positive
excitedness	positive
excitement	positive
exertion	positive
exhilaration	positive
exotic	positive
experience	positive
expert	positive
exquisite	positive
extol	positive
extraordinary	positive
extravagance	positive
exuberance	positive
exuberant	positive
exult	positive
exultation	positive
eye	positive
fabulous	positive
facilitate	positive
factual	positive
fair	positive
fairness	positive
faith	positive
faithful	positive
faithfulness	positive
fame	positive
familiar	positive
familiarity	positive
familiarize	positive
famous	positive
fancy	positive
fantastic	positive
fantasy	positive
farsighted	positive
fascination	positive
fashionable	positive
favor	positive
favorable	positive
favorite	positive
fearless	positive
feasible	positive
feast	positive
fellow	positive
fellowship	positive
fertile	positive
fervent	positive
fervor	positive
festival	positive
festive	positive
festivity	positive
fidelity	positive
fiery	positive
filial	positive
fill	positive
fine	positive
firmness	positive
fit	positive
fitness	positive
flair	positive
flashy	positive
flatter	positive
flattery	positive
flaunt	positive
flawless	positive
flexible	positive
flirt	positive
flourish	positive
fluent	positive
fond	positive
fondness	positive
foremost	positive
foresight	positive
forgave	positive
forgive	positive
forgiven	positive
forgiveness	positive
formality	positive
fortify	positive
fortitude	positive
fortunate	positive
forward	positive
foster	positive
fragrant	positive
frank	positive
free	positive
freedom	positive
fresh	positive
friend	positive
friendly	positive
friendship	positive
frolic	positive
frugal	positive
fruitful	positive
fruition	positive
fulfill	positive
fulfillment	positive
fullness	positive
fun	positive
funny	positive
gaiety	positive
gaily	positive
gain	positive
gallant	positive
gallantry	positive
game	positive
garnish	positive
gay	positive
generate	positive
generosity	positive
generous	positive
genial	positive
genius	positive
gentle	positive
genuine	positive
giddy	positive
gift	positive
gifted	positive
give	positive
glad	positive
gladden	positive
gladness	positive
glamorous	positive
glamour	positive
gleam	positive
glean	positive
glee	positive
glimmer	positive
glisten	positive
glitter	positive
glorify	positive
glorious	positive
glory	positive
glossy	positive
glow	positive
godlike	positive
godliness	positive
gold	positive
golden	positive
good	positive
goodbye	positive
goodness	positive
gorgeous	positive
grace	positive
graceful	positive
gracious	positive
graduation	positive
grand	positive
grandeur	positive
grateful	positive
gratification	positive
gratify	positive
gratitude	positive
great	positive
greatness	positive
greet	positive
groom	positive
guarantee	positive
guardian	positive
guide	positive
gusto	positive
hallowed	positive
hand	positive
handsome	positive
handy	positive
happiness	positive
happy	positive
hardy	positive
harmless	positive
harmonious	positive
harmonize	positive
harmony	positive
harness	positive
haven	positive
heal	positive
health	positive
healthful	positive
healthy	positive
heart	positive
heartily	positive
heaven	positive
heavenly	positive
help	positive
helpful	positive
hero	positive
heroic	positive
heroine	positive
heroism	positive
highlight	positive
hilarious	positive
hit	positive
holy	positive
homage	positive
home	positive
honest	positive
honeymoon	positive
honor	positive
honorable	positive
hope	positive
hopeful	positive
hospitable	positive
hug	positive
human	positive
humanitarian	positive
humanity	positive
humble	positive
humility	positive
humor	positive
humorous	positive
hygiene	positive
ideal	positive
idealism	positive
idol	positive
idolize	positive
illuminate	positive
illustrious	positive
imagination	positive
imaginative	positive
immaculate	positive
immortal	positive
impartial	positive
impartiality	positive
imperative	positive
impervious	positive
impetus	positive
importance	positive
important	positive
impress	positive
impressive	positive
improve	positive
improvement	positive
impunity	positive
inaugurate	positive
inauguration	positive
independence	positive
independent	positive
indescribable	positive
indicative	positive
indispensability	positive
indispensable	positive
individuality	positive
indomitable	positive
indulgence	positive
industrious	positive
inexpensive	positive
infallibility	positive
infallible	positive
infer	positive
inference	positive
inform	positive
ingenious	positive
ingenuity	positive
inherit	positive
innocence	positive
