term	valence	conditions	conditional expressions
achievement	positive	!isImmediatelyPrecededByANegation	11:12
accommodating	positive	!isImmediatelyPrecededByANegation	11:12
admire	positive	!isImmediatelyPrecededByANegation+++isPrecededBySubjectiveTerm	if (A && B) {11} else if (A == 'false') {12} else {10}
admirable	positive	!isImmediatelyPrecededByANegation	11:12
admirably	positive	!isImmediatelyPrecededByANegation	11:12
affordable	positive	!isImmediatelyPrecededByANegation	11:12
agreeably	positive	!isImmediatelyPrecededByANegation	11:12
all in one	positive		11
always a pleasure	positive	!isImmediatelyPrecededByANegation	11:12
amazing	positive	!isImmediatelyPrecededByANegation	11:12
among the top	positive	!isImmediatelyPrecededByANegation	11:12
amusing	positive	!isImmediatelyPrecededByANegation	11:12
and I m done	positive		11
angel	positive	!isImmediatelyPrecededByANegation	11:12
appreciate	positive	!isImmediatelyPrecededByANegation	11:12
appreciated	positive	!isImmediatelyPrecededByANegation	11:12
attractive	positive	!isImmediatelyPrecededByANegation	11:12
awesme	positive	!isImmediatelyPrecededByANegation	11:12
awesome	positive	!isImmediatelyPrecededByANegation	11:12
awesomeness	positive	!isImmediatelyPrecededByANegation	11:12
awsome	positive	!isImmediatelyPrecededByANegation	11:12
badass	positive		11
bang up	positive		11
beautiful	positive	!isImmediatelyPrecededByANegation	11:12
beautifully	positive	!isImmediatelyPrecededByANegation	11:12
best	positive	!isImmediatelyPrecededByANegation	11:12
better	positive	!isImmediatelyPrecededByANegation+++!isFollowedBySpecificTerm///not|start+++!isImmediatelyPrecededBySpecificTerm///would|d|wd	if(A && B && C){11} else {10} 
bff	positive		11
big fan	positive	!isImmediatelyPrecededByANegation	11:12
big up	positive	!isImmediatelyPrecededByANegation	11:12
big ups	positive	!isImmediatelyPrecededByANegation	11:12
bitch	positive	!isImmediatelyPrecededByANegation	11:12
blast	positive	isPrecededBySpecificTerm///it's|its|it is|what a	11:12
blessed	positive	!isImmediatelyPrecededByANegation	11:12
blessing	positive	!isImmediatelyPrecededByANegation	11:12
blown	positive	isPrecededBySpecificTerm ///mind+++isPrecededBySubjectiveTerm+++isFirstTermOfText	if(A || B || C){11} else {10}
blunder	positive	!isImmediatelyPrecededByANegation	11:12
bright	positive	!isImmediatelyPrecededByANegation+++!isFollowedBySpecificTerm///light	if(A && B){11} else {10}
brightening	positive	!isImmediatelyPrecededByANegation	11:12
brightens	positive		11
brightens	positive	!isImmediatelyPrecededByANegation	11:12
brilliance	positive	!isImmediatelyPrecededByANegation	11:12
brilliant	positive	!isImmediatelyPrecededByANegation	11:12
brilliantly	positive	!isImmediatelyPrecededByANegation	11:12
cant wait	positive		11
can t wait	positive		11
can t wait for	positive	!isFollowedBySpecificTerm ///to be over	11:12
cant wait for	positive	!isFollowedBySpecificTerm ///to be over	11:12
care about	positive	!isImmediatelyPrecededByANegation	11:12
catchya	positive		11
celebrate	positive	!isImmediatelyPrecededByANegation	11:12
celebration	positive	!isImmediatelyPrecededByANegation	11:12
champion	positive	!isImmediatelyPrecededByANegation	11:12
champions	positive	!isImmediatelyPrecededByANegation	11:12
charming	positive	!isImmediatelyPrecededByANegation	11:12
charmingly	positive	!isImmediatelyFollowedByANegativeOpinion	11:10
cheeky	positive	!isImmediatelyPrecededByANegation	11:12
cheer!	positive		11
cheerful	positive	!isImmediatelyPrecededByANegation	11:12
cheers	positive	!isImmediatelyPrecededByANegation	11:12
chill out	positive	!isImmediatelyPrecededByANegation	11:12
chilled	positive	!isImmediatelyPrecededByANegation	11:12
classic	positive	!isImmediatelyPrecededByANegation+++!isImmediatelyPrecededBySpecificTerm///classic	if (A && B) {11} else {10}
classy	positive	!isImmediatelyPrecededByANegation	11:12
clever	positive	!isImmediatelyPrecededByANegation	11:12
cohesive	positive	!isImmediatelyPrecededByANegation	11:12
comfort	positive	!isImmediatelyPrecededByANegation	11:12
comfy	positive	!isImmediatelyPrecededByANegation	11:12
comfortable	positive	!isImmediatelyPrecededByANegation	11:12
congrats	positive		11
congrats to	positive	!isImmediatelyPrecededByANegation	11:12
congratulation	positive		11
congratulations	positive	!isImmediatelyPrecededByANegation	11:12
cool	positive	!isImmediatelyPrecededByANegation	11:12
coolest	positive	!isImmediatelyPrecededByANegation	11:12
coolshite	positive		11
cost effective	positive	!isImmediatelyPrecededByANegation	11:12
cracking	positive	!isImmediatelyPrecededByANegation+++!isFollowedBySpecificTerm///knuckle|knuckles|joint|joints	if (A && B) {11} else {10}
crank	positive	!isImmediatelyPrecededByANegation	11:12
craving	positive	!isImmediatelyPrecededByANegation	11:12
cunning	positive	!isImmediatelyPrecededByANegation	11:12
cute	positive	!isImmediatelyPrecededByANegation	11:12
cutey	positive	!isImmediatelyPrecededByANegation	11:12
daringly	positive	!isImmediatelyPrecededByANegation	11:12
dazzing	positive	!isImmediatelyPrecededByANegation	11:12
dazzingly	positive	!isImmediatelyPrecededByANegation	11:12
decent	positive	!isImmediatelyPrecededByANegation	11:12
defies	positive	!isImmediatelyPrecededByANegation	11:10
delicious	positive	!isImmediatelyPrecededByANegation	11:12
delighted	positive	!isImmediatelyPrecededByANegation	11:12
devoted	positive	!isImmediatelyPrecededByANegation	11:12
dig	positive	!isImmediatelyPrecededByANegation+++isPrecededBySubjectiveTerm	if (A && B) {11} else {10}
digging	positive	!isImmediatelyPrecededByANegation+++isPrecededBySubjectiveTerm	if (A && B) {11} else {10}
donates	positive		11
dope	positive	isImmediatelyPrecededBySpecificTerm///it's|it is|its	11:10
dream	positive	!isImmediatelyPrecededByANegation	11:12
dreamy	positive	!isImmediatelyPrecededByANegation	11:12
dreamin	positive	!isImmediatelyPrecededByANegation	11:12
dreams	positive	!isImmediatelyPrecededByANegation	11:12
ease	positive	!isImmediatelyPrecededByANegation	11:12
easily	positive	!isImmediatelyPrecededByANegation	11:12
easier	positive	!isImmediatelyPrecededByANegation	11:12
easy	positive	!isImmediatelyPrecededByANegation	11:12
eco friendly	positive	!isImmediatelyPrecededByANegation	11:12
ecofriendly	positive	!isImmediatelyPrecededByANegation	11:12
efficient	positive	!isImmediatelyPrecededByANegation	11:12
elated	positive	!isImmediatelyPrecededByANegation	11:12
embarassing	positive	!isImmediatelyPrecededByANegation	11:12
enabled	positive	!isImmediatelyPrecededByANegation	11:12
engaging	positive	!isImmediatelyPrecededByANegation+++isPrecededByStrongWord+++isImmediatelyPrecededBySpecificTerm///an	if (A && (B || C)) {11} else {10}
enhance	positive	!isImmediatelyPrecededByANegation	11:12
enhancement	positive	!isImmediatelyPrecededByANegation	11:12
enhancements	positive	!isImmediatelyPrecededByANegation	11:12
enhances	positive	!isImmediatelyPrecededByANegation	11:12
enhancing	positive	!isImmediatelyPrecededByANegation	11:12
enjoy	positive	!isImmediatelyPrecededByANegation	11:12
enjoyable	positive	!isImmediatelyPrecededByANegation	11:12
enjoyed	positive	!isImmediatelyPrecededByANegation	11:12
enjoying	positive	!isImmediatelyPrecededByANegation	11:12
enjoyment	positive	!isImmediatelyPrecededByANegation	11:12
entertaining	positive	!isImmediatelyPrecededByANegation	11:12
epic	positive	!isImmediatelyPrecededByANegation	11:12
evocative	positive	!isImmediatelyPrecededByANegation	11:12
excellent	positive	!isImmediatelyPrecededByANegation	11:12
exceptional	positive	!isImmediatelyPrecededByANegation+++!isImmediatelyFollowedByAnOpinion	if (A) {12} else if (B) {11} else {10}
excite	positive	!isImmediatelyPrecededByANegation	11:12
excited	positive	!isImmediatelyPrecededByANegation	11:12
exciting	positive	!isImmediatelyPrecededByANegation	11:12
exquisite	positive	!isImmediatelyPrecededByANegation	11:12
fab	positive	!isImmediatelyPrecededByANegation	11:12
fabulous	positive	!isImmediatelyPrecededByANegation	11:12
fancy	positive	!isImmediatelyPrecededByANegation	11:12
fantastic	positive	!isImmediatelyPrecededByANegation	11:12
fascinating	positive	!isImmediatelyPrecededByANegation	11:12
fav	positive	!isImmediatelyPrecededByANegation	11:12
fave	positive	!isImmediatelyPrecededByANegation	11:12
favorite	positive	!isImmediatelyPrecededByANegation	11:12
favourite	positive	!isImmediatelyPrecededByANegation	11:12
feel at home	positive	!isImmediatelyPrecededByANegation	11:12
felt at home	positive	!isImmediatelyPrecededByANegation	11:12
festive	positive	!isImmediatelyPrecededByANegation	11:12
finest	positive	!isImmediatelyPrecededByANegation	11:12
finger licking	positive	!isImmediatelyPrecededByANegation	11:12
flair	positive	isPrecededByStrongWord	11:10
fond	positive	!isImmediatelyPrecededByANegation+++isPrecededBySubjectiveTerm	if (A && B) {11} else {10}
fondly	positive	!isImmediatelyPrecededByANegation+++isPrecededBySubjectiveTerm	11:12
free	positive	!isImmediatelyPrecededByANegation	11:12
freebies	positive	!isImmediatelyPrecededByANegation	11:12
friendly	positive	!isImmediatelyPrecededByANegation+++!isFollowedBySpecificTerm///fire	if (A && B) {11} else {10}
ftw	positive	!isImmediatelyPrecededByANegation	11:12
fun	positive	!isImmediatelyPrecededByANegation	11:12
funniest	positive	!isImmediatelyPrecededByANegation	11:12
funny	positive	!isImmediatelyPrecededByANegation+++!isFollowedBySpecificTerm///that|how	11:12
futuristic	positive	!isImmediatelyPrecededByANegation	11:12
gains	positive	!isImmediatelyPrecededByANegation	11:12
game changing	positive	!isImmediatelyPrecededByANegation	11:12
genius	positive	!isImmediatelyPrecededByANegation	11:12
glad	positive	!isImmediatelyPrecededByANegation	11:12
glorious	positive	!isImmediatelyPrecededByANegation	11:12
glory to	positive		11
god bless	positive		11
gold	positive	isAllCaps	11
good	positive	!isImmediatelyPrecededByANegation	11:12
goodies	positive		11
gorgeous	positive	!isImmediatelyPrecededByANegation	11:12
gr8t	positive	!isImmediatelyPrecededByANegation	11:12
graceful	positive	!isImmediatelyPrecededByANegation	11:12
gracefully	positive	!isImmediatelyPrecededByANegation	11:12
grand	positive	!isImmediatelyFollowedByANegativeOpinion+++isImmediatelyPrecededBySpecificTerm///be	if(A && B){11} else {10}
grateful	positive	!isImmediatelyPrecededByANegation	11:12
great	positive	!isImmediatelyPrecededByANegation	11:12
