term	valence	score	raw-score
murderous	negative	-0.61	2.56
murderer	negative	-0.605	2.58
murder	negative	-0.6	2.6
typhoid	negative	-0.6	2.6
bubonic	negative	-0.5975	2.61
poisoning	negative	-0.595	2.62
mumps	negative	-0.5925	2.63
disease-cause	negative	-0.59	2.64
scourge	negative	-0.59	2.64
dysentery	negative	-0.5875	2.65
virus	negative	-0.5875	2.65
viral	negative	-0.5825	2.67
virulent	negative	-0.5825	2.67
cause	negative	-0.58	2.68
microbe	negative	-0.5775	2.69
paralyse	negative	-0.5775	2.69
pathogen	negative	-0.5775	2.69
diphtheria	negative	-0.575	2.7
pneumonia	negative	-0.575	2.7
suicide	negative	-0.575	2.7
asthma	negative	-0.5675	2.73
killing	negative	-0.5675	2.73
susceptible	negative	-0.5675	2.73
toxin	negative	-0.5675	2.73
anthrax	negative	-0.565	2.74
disease-causing	negative	-0.565	2.74
noninfectious	negative	-0.565	2.74
victim	negative	-0.565	2.74
hepatitis	negative	-0.5625	2.75
influenza	negative	-0.5625	2.75
senseless	negative	-0.5625	2.75
serious	negative	-0.5625	2.75
violent	negative	-0.5625	2.75
contagious	negative	-0.56	2.76
cowpox	negative	-0.56	2.76
stab	negative	-0.56	2.76
suffer	negative	-0.56	2.76
bacillus	negative	-0.5575	2.77
pox	negative	-0.5575	2.77
chronic	negative	-0.555	2.78
distressing	negative	-0.555	2.78
immunize	negative	-0.555	2.78
irritable	negative	-0.555	2.78
stressful	negative	-0.555	2.78
antibody	negative	-0.5525	2.79
tumour	negative	-0.5525	2.79
bacterial	negative	-0.55	2.8
death	negative	-0.55	2.8
fatal	negative	-0.55	2.8
informer	negative	-0.55	2.8
strep	negative	-0.55	2.8
cough	negative	-0.5475	2.81
harmless	negative	-0.5475	2.81
polio	negative	-0.5475	2.81
sneeze	negative	-0.5475	2.81
tetanus	negative	-0.5475	2.81
aggravate	negative	-0.545	2.82
disorder	negative	-0.545	2.82
immunity	negative	-0.545	2.82
infected	negative	-0.545	2.82
causative	negative	-0.5425	2.83
deadly	negative	-0.5425	2.83
fatality	negative	-0.5425	2.83
handgun	negative	-0.5425	2.83
symptom	negative	-0.5425	2.83
tragically	negative	-0.5425	2.83
acute	negative	-0.54	2.84
infectious	negative	-0.54	2.84
irritant	negative	-0.54	2.84
measles	negative	-0.54	2.84
suicidal	negative	-0.54	2.84
allergic	negative	-0.5375	2.85
captor	negative	-0.5375	2.85
cholera	negative	-0.5375	2.85
communicable	negative	-0.5375	2.85
immune	negative	-0.5375	2.85
leukemia	negative	-0.5375	2.85
mistreat	negative	-0.5375	2.85
brutality	negative	-0.535	2.86
cystic	negative	-0.535	2.86
fibrosis	negative	-0.535	2.86
immunization	negative	-0.535	2.86
inject	negative	-0.535	2.86
suffocate	negative	-0.535	2.86
vaccine	negative	-0.535	2.86
allergy	negative	-0.5325	2.87
assassin	negative	-0.5325	2.87
malignant	negative	-0.5325	2.87
nausea	negative	-0.5325	2.87
prolonged	negative	-0.5325	2.87
streptomycin	negative	-0.5325	2.87
debilitating	negative	-0.53	2.88
flu	negative	-0.53	2.88
insomnia	negative	-0.53	2.88
loss	negative	-0.53	2.88
self-defense	negative	-0.53	2.88
severe	negative	-0.53	2.88
sufferer	negative	-0.53	2.88
airborne	negative	-0.5275	2.89
contamination	negative	-0.5275	2.89
degenerative	negative	-0.5275	2.89
disease	negative	-0.5275	2.89
infect	negative	-0.5275	2.89
malaria	negative	-0.5275	2.89
streptococcus	negative	-0.5275	2.89
arrest	negative	-0.525	2.9
deterrence	negative	-0.525	2.9
fear	negative	-0.525	2.9
hopelessness	negative	-0.525	2.9
microorganism	negative	-0.525	2.9
pneumococcus	negative	-0.525	2.9
sickle-cell	negative	-0.525	2.9
vaccinate	negative	-0.525	2.9
antibiotic	negative	-0.5225	2.91
deter	negative	-0.5225	2.91
homicide	negative	-0.5225	2.91
jail	negative	-0.5225	2.91
neurosis	negative	-0.5225	2.91
rash	negative	-0.5225	2.91
tuberculosis	negative	-0.5225	2.91
vaccination	negative	-0.5225	2.91
fever	negative	-0.52	2.92
life-threaten	negative	-0.52	2.92
pathogenic	negative	-0.52	2.92
prison	negative	-0.52	2.92
rabies	negative	-0.52	2.92
smallpox	negative	-0.52	2.92
committed	negative	-0.5175	2.93
die	negative	-0.5175	2.93
plague	negative	-0.5175	2.93
congenital	negative	-0.515	2.94
diarrhea	negative	-0.515	2.94
quarantine	negative	-0.515	2.94
rheumatic	negative	-0.515	2.94
harassment	negative	-0.5125	2.95
holocaust	negative	-0.5125	2.95
meningitis	negative	-0.5125	2.95
paralysis	negative	-0.5125	2.95
psychosis	negative	-0.5125	2.95
runny	negative	-0.5125	2.95
whooping	negative	-0.5125	2.95
cruelly	negative	-0.51	2.96
damage	negative	-0.51	2.96
dementia	negative	-0.51	2.96
deterrent	negative	-0.51	2.96
disturbance	negative	-0.51	2.96
epidemic	negative	-0.51	2.96
killer	negative	-0.51	2.96
pathological	negative	-0.51	2.96
torture	negative	-0.51	2.96
weakened	negative	-0.51	2.96
abnormal	negative	-0.5075	2.97
affected	negative	-0.5075	2.97
antigen	negative	-0.5075	2.97
bacterium	negative	-0.5075	2.97
blockage	negative	-0.5075	2.97
infection	negative	-0.5075	2.97
legionnaire	negative	-0.5075	2.97
outbreak	negative	-0.5075	2.97
syndrome	negative	-0.5075	2.97
untreated	negative	-0.5075	2.97
betrayal	negative	-0.505	2.98
hashish	negative	-0.505	2.98
prisoner	negative	-0.505	2.98
retaliate	negative	-0.505	2.98
sore	negative	-0.505	2.98
apathetic	negative	-0.5025	2.99
benign	negative	-0.5025	2.99
parole	negative	-0.5025	2.99
striker	negative	-0.5025	2.99
hysterical	negative	-0.5	3
inflammation	negative	-0.5	3
parasite	negative	-0.5	3
seizure	negative	-0.5	3
complication	negative	-0.4975	3.01
convulsion	negative	-0.4975	3.01
disable	negative	-0.4975	3.01
emphysema	negative	-0.4975	3.01
mob	negative	-0.4975	3.01
brutal	negative	-0.495	3.02
bystander	negative	-0.495	3.02
defenceless	negative	-0.495	3.02
police	negative	-0.495	3.02
